,Date Produced,Title,Claims
592,2022-09-21,Lettuce variety grackle,"['1. A seed of lettuce cultivar Grackle, a representative sample of seed having been deposited under ATCC Accession No. PTA-127086.', '2. A plant of lettuce cultivar Grackle, a representative sample of seed having been deposited under ATCC Accession No. PTA-127086.', '3. A lettuce plant, or a part thereof, having all of the physiological and morphological characteristics of the lettuce plant of ', '4. A progeny lettuce plant of the plant of ', '5. A seed that produces the plant of ', '6. A plant part of the lettuce plant of ', '7. The plant part of ', '8. A tissue culture of regenerable cells of the plant of ', '9. A lettuce plant regenerated from the tissue culture of ', '10. A converted lettuce plant produced by introducing a single locus conversion into the plant of ', '11. A processed product from the plant of ', '12. A method of producing lettuce seed, the method comprising crossing the plant of ', '13. An F1 lettuce seed produced by the method of ', '14. An F1 lettuce plant, or a meristem, leaf, pollen, cotyledon, hypocotyl, root, root tip, anther, flower, flower bud, pistil, ovule, shoot, stem, stalk, petiole, pith, capsule, scion, rootstock, or fruit thereof, produced by growing the seed of ', '15. A doubled haploid plant produced from the F1 lettuce plant of ', '16. A method for producing a seed of a lettuce plant derived from the plant of ', '17. A seed produced by the method of ', '18. A plant, or part thereof, produced by growing the seed of ', '19. A method of vegetatively propagating the plant of ', '20. A lettuce plantlet or plant obtained by the method of ', '21. A method of introducing a desired added trait into lettuce cultivar Grackle, the method comprising:\n', '22. The method of ', '23. A lettuce plant produced by the method of ', '24. A seed of the plant of ', '25. A seed that produces the plant of ', '26. A method of producing a plant of lettuce cultivar Grackle comprising a desired added trait, the method comprising introducing a transgene conferring the desired trait into the plant of ', '27. A lettuce plant produced by the method of ', '28. A seed of the plant of ', '29. A method of determining a genotype of lettuce cultivar Grackle, the method comprising:\n', '30. A method of producing a lettuce leaf, the method comprising:\n', '31. A method of producing a lettuce leaf, the method comprising:\n', '32. A method of developing a lettuce line in a lettuce plant breeding program using plant breeding techniques, which include employing a lettuce plant, or its parts, as a source of plant breeding material, comprising:\n']"
593,2022-09-20,Basket type interspecific ,"['1. An interspecific ', '2. The ', '3. The ', '4. The ', '5. The ', '6. The ', '7. A seed or vegetative cutting product of the ', '8. A method of producing hybrid seed by open field or insect pollination, wherein a plant is crossed with the plant produced according to ', '9. A dark red interspecific ']"
594,2022-09-21,Plants and seeds of hybrid corn variety CH011054,"['1. A seed of hybrid corn variety CH011054, produced by crossing a first plant of variety CV602186 with a second plant of variety CV456829, wherein representative seeds of said varieties CV602186 and CV456829 are deposited under ATCC Accession No. PTA-125251 and ATCC Accession No. PTA-126180, respectively.', '2. A plant of the hybrid corn variety CH011054 grown from said seed of ', '3. A plant part of the plant of ', '4. A composition comprising the seed of ', '5. The composition of ', '6. A seed of hybrid corn variety CH011054, produced by crossing a first plant of variety CV602186 with a second plant of variety CV456829, further comprising a transgene, wherein said transgene is introduced by backcrossing or genetic transformation into said variety CV602186, said variety CV456829, or both varieties CV602186 and CV456829, and wherein representative seeds of said varieties CV602186 and CV456829 are deposited under ATCC Accession No. PTA-125251 and ATCC Accession No. PTA-126180, respectively.', '7. The seed of ', '8. A method of producing the seed of ', '9. A seed of hybrid corn variety CH011054 further comprising a single locus conversion, wherein a plant grown from said seed comprises a trait conferred by said single locus conversion and otherwise comprises all of the morphological and physiological characteristics of hybrid corn variety CH011054, and wherein said seed is produced by crossing a first plant selected from the group consisting of variety CV602186 and selfed progeny thereof with a second plant selected from a second group consisting of variety CV456829 and selfed progeny thereof, wherein said first plant, said second plant, or both further comprise said single locus conversion, and wherein representative seeds of said varieties CV602186 and CV456829 are deposited under ATCC Accession No. PTA-125251 and ATCC Accession No. PTA-126180, respectively.', '10. The seed of ', '11. A plant grown from the seed of ', '12. A method of introducing a heritable trait into hybrid corn variety CH011054, the method comprising the steps of:\n', '13. The method of ', '14. The method of ', '15. A method of producing a progeny corn plant derived from hybrid corn variety CH011054, wherein the method comprises applying plant breeding techniques to the plant of ', '16. The method of ', '17. The method of ', '18. A method of producing a commodity plant product, the method comprising obtaining the plant of ', '19. The method of ']"
595,2022-09-21,Plants and seeds of corn variety CV409079,"['1. A plant of corn variety CV409079, wherein representative seeds of corn variety CV409079 have been deposited under NCMA Accession No. 202005022.', '2. A plant part of the plant of ', '3. The plant part of ', '4. A seed of corn variety CV409079, wherein representative seeds of corn variety CV409079 have been deposited under NCMA Accession No. 202005022.', '5. A seed of corn variety CV409079, further comprising a transgene, wherein said transgene was introduced into corn variety CV409079 by backcrossing or genetic transformation, and wherein representative seeds of corn variety CV409079 have been deposited under NCMA Accession No. 202005022.', '6. A composition comprising the seed of ', '7. The composition of ', '8. An F', '9. An F', '10. An F', '11. A plant of corn variety CV409079 further comprising a single locus conversion, wherein representative seeds of corn variety CV409079 have been deposited under NCMA Accession No. 202005022, and wherein said plant otherwise comprises all of the morphological and physiological characteristics of corn variety CV409079.', '12. The plant of ', '13. A seed that produces the plant of ', '14. The seed of ', '15. The seed of ', '16. A method of producing a progeny corn plant derived from corn variety CV409079, said method comprising applying plant breeding techniques to the plant of ', '17. The method of ', '18. The method of ', '19. A method of producing a commodity plant product, said method comprising obtaining the plant of ', '20. The method of ']"
596,2022-09-21,Plants and seeds of hybrid corn variety CH011133,"['1. A seed of hybrid corn variety CH011133, produced by crossing a first plant of variety CV457958 with a second plant of variety CV093813, wherein representative seeds of said varieties CV457958 and CV093813 are deposited under NCMA Accession No. 202005037 and ATCC Accession No. PTA-123818, respectively.', '2. A plant of the hybrid corn variety CH011133 grown from said seed of ', '3. A plant part of the plant of ', '4. A composition comprising the seed of ', '5. The composition of ', '6. A seed of hybrid corn variety CH011133, produced by crossing a first plant of variety CV457958 with a second plant of variety CV093813, further comprising a transgene, wherein said transgene is introduced by backcrossing or genetic transformation into said variety CV457958, said variety CV093813, or both varieties CV457958 and CV093813, and wherein representative seeds of said varieties CV457958 and CV093813 are deposited under NCMA Accession No. 202005037 and ATCC Accession No. PTA-123818, respectively.', '7. The seed of ', '8. A method of producing the seed of ', '9. A seed of hybrid corn variety CH011133 further comprising a single locus conversion, wherein a plant grown from said seed comprises a trait conferred by said single locus conversion and otherwise comprises all of the morphological and physiological characteristics of hybrid corn variety CH011133, and wherein said seed is produced by crossing a first plant selected from the group consisting of variety CV457958 and selfed progeny thereof with a second plant selected from a second group consisting of variety CV093813 and selfed progeny thereof, wherein said first plant, said second plant, or both further comprise said single locus conversion, and wherein representative seeds of said varieties CV457958 and CV093813 are deposited under NCMA Accession No. 202005037 and ATCC Accession No. PTA-123818, respectively.', '10. The seed of ', '11. A plant grown from the seed of ', '12. A method of introducing a heritable trait into hybrid corn variety CH011133, the method comprising the steps of:\n', '13. The method of ', '14. The method of ', '15. A method of producing a progeny corn plant derived from hybrid corn variety CH011133, wherein the method comprises applying plant breeding techniques to the plant of ', '16. The method of ', '17. The method of ', '18. A method of producing a commodity plant product, the method comprising obtaining the plant of ', '19. The method of ']"
597,2022-09-21,Plants and seeds of hybrid corn variety CH011106,"['1. A seed of hybrid corn variety CH011106, produced by crossing a first plant of variety CV481649 with a second plant of variety CV892622, wherein representative seeds of said varieties CV481649 and CV892622 are deposited under NCMA Accession No. 202005028 and NCMA Accession No. 202005024, respectively.', '2. A plant of the hybrid corn variety CH011106 grown from said seed of ', '3. A plant part of the plant of ', '4. A composition comprising the seed of ', '5. The composition of ', '6. A seed of hybrid corn variety CH011106, produced by crossing a first plant of variety CV481649 with a second plant of variety CV892622, further comprising a transgene, wherein said transgene is introduced by backcrossing or genetic transformation into said variety CV481649, said variety CV892622, or both varieties CV481649 and CV892622, and wherein representative seeds of said varieties CV481649 and CV892622 are deposited under NCMA Accession No. 202005028 and NCMA Accession No. 202005024, respectively.', '7. The seed of ', '8. A method of producing the seed of ', '9. A seed of hybrid corn variety CH011106 further comprising a single locus conversion, wherein a plant grown from said seed comprises a trait conferred by said single locus conversion and otherwise comprises all of the morphological and physiological characteristics of hybrid corn variety CH011106, and wherein said seed is produced by crossing a first plant selected from the group consisting of variety CV481649 and selfed progeny thereof with a second plant selected from a second group consisting of variety CV892622 and selfed progeny thereof, wherein said first plant, said second plant, or both further comprise said single locus conversion, and wherein representative seeds of said varieties CV481649 and CV892622 are deposited under NCMA Accession No. 202005028 and NCMA Accession No. 202005024, respectively.', '10. The seed of ', '11. A plant grown from the seed of ', '12. A method of introducing a heritable trait into hybrid corn variety CH011106, the method comprising the steps of:\n', '13. The method of ', '14. The method of ', '15. A method of producing a progeny corn plant derived from hybrid corn variety CH011106, wherein the method comprises applying plant breeding techniques to the plant of ', '16. The method of ', '17. The method of ', '18. A method of producing a commodity plant product, the method comprising obtaining the plant of ', '19. The method of ']"
598,2022-09-21,Plants and seeds of hybrid corn variety CH011114,"['1. A seed of hybrid corn variety CH011114, produced by crossing a first plant of variety CV457958 with a second plant of variety CV453754, wherein representative seeds of said varieties CV457958 and CV453754 are deposited under NCMA Accession No. 202005037 and ATCC Accession No. PTA-126189, respectively.', '2. A plant of the hybrid corn variety CH011114 grown from said seed of ', '3. A plant part of the plant of ', '4. A composition comprising the seed of ', '5. The composition of ', '6. A seed of hybrid corn variety CH011114, produced by crossing a first plant of variety CV457958 with a second plant of variety CV453754, further comprising a transgene, wherein said transgene is introduced by backcrossing or genetic transformation into said variety CV457958, said variety CV453754, or both varieties CV457958 and CV453754, and wherein representative seeds of said varieties CV457958 and CV453754 are deposited under NCMA Accession No. 202005037 and ATCC Accession No. PTA-126189, respectively.', '7. The seed of ', '8. A method of producing the seed of ', '9. A seed of hybrid corn variety CH011114 further comprising a single locus conversion, wherein a plant grown from said seed comprises a trait conferred by said single locus conversion and otherwise comprises all of the morphological and physiological characteristics of hybrid corn variety CH011114, and wherein said seed is produced by crossing a first plant selected from the group consisting of variety CV457958 and selfed progeny thereof with a second plant selected from a second group consisting of variety CV453754 and selfed progeny thereof, wherein said first plant, said second plant, or both further comprise said single locus conversion, and wherein representative seeds of said varieties CV457958 and CV453754 are deposited under NCMA Accession No. 202005037 and ATCC Accession No. PTA-126189, respectively.', '10. The seed of ', '11. A plant grown from the seed of ', '12. A method of introducing a heritable trait into hybrid corn variety CH011114, the method comprising the steps of:\n', '13. The method of ', '14. The method of ', '15. A method of producing a progeny corn plant derived from hybrid corn variety CH011114, wherein the method comprises applying plant breeding techniques to the plant of ', '16. The method of ', '17. The method of ', '18. A method of producing a commodity plant product, the method comprising obtaining the plant of ', '19. The method of ']"
599,2022-09-21,Plants and seeds of hybrid corn variety CH011031,"['1. A seed of hybrid corn variety CH011031, produced by crossing a first plant of variety CV807641 with a second plant of variety CV892622, wherein representative seeds of said varieties CV807641 and CV892622 are deposited under ATCC Accession No. PTA-126178 and NCMA Accession No. 202005024, respectively.', '2. A plant of the hybrid corn variety CH011031 grown from said seed of ', '3. A plant part of the plant of ', '4. A composition comprising the seed of ', '5. The composition of ', '6. A seed of hybrid corn variety CH011031, produced by crossing a first plant of variety CV807641 with a second plant of variety CV892622, further comprising a transgene, wherein said transgene is introduced by backcrossing or genetic transformation into said variety CV807641, said variety CV892622, or both varieties CV807641 and CV892622, and wherein representative seeds of said varieties CV807641 and CV892622 are deposited under ATCC Accession No. PTA-126178 and NCMA Accession No. 202005024, respectively.', '7. The seed of ', '8. A method of producing the seed of ', '9. A seed of hybrid corn variety CH011031 further comprising a single locus conversion, wherein a plant grown from said seed comprises a trait conferred by said single locus conversion and otherwise comprises all of the morphological and physiological characteristics of hybrid corn variety CH011031, and wherein said seed is produced by crossing a first plant selected from the group consisting of variety CV807641 and selfed progeny thereof with a second plant selected from a second group consisting of variety CV892622 and selfed progeny thereof, wherein said first plant, said second plant, or both further comprise said single locus conversion, and wherein representative seeds of said varieties CV807641 and CV892622 are deposited under ATCC Accession No. PTA-126178 and NCMA Accession No. 202005024, respectively.', '10. The seed of ', '11. A plant grown from the seed of ', '12. A method of introducing a heritable trait into hybrid corn variety CH011031, the method comprising the steps of:\n', '13. The method of ', '14. The method of ', '15. A method of producing a progeny corn plant derived from hybrid corn variety CH011031, wherein the method comprises applying plant breeding techniques to the plant of ', '16. The method of ', '17. The method of ', '18. A method of producing a commodity plant product, the method comprising obtaining the plant of ', '19. The method of ']"
600,2022-09-21,Plants and seeds of hybrid corn variety CH011052,"['1. A seed of hybrid corn variety CH011052, produced by crossing a first plant of variety CV663768 with a second plant of variety CV426610, wherein representative seeds of said varieties CV663768 and CV426610 are deposited under ATCC Accession No. PTA-125227 and NCMA Accession No. 202005034, respectively.', '2. A plant of the hybrid corn variety CH011052 grown from said seed of ', '3. A plant part of the plant of ', '4. A composition comprising the seed of ', '5. The composition of ', '6. A seed of hybrid corn variety CH011052, produced by crossing a first plant of variety CV663768 with a second plant of variety CV426610, further comprising a transgene, wherein said transgene is introduced by backcrossing or genetic transformation into said variety CV663768, said variety CV426610, or both varieties CV663768 and CV426610, and wherein representative seeds of said varieties CV663768 and CV426610 are deposited under ATCC Accession No. PTA-125227 and NCMA Accession No. 202005034, respectively.', '7. The seed of ', '8. A method of producing the seed of ', '9. A seed of hybrid corn variety CH011052 further comprising a single locus conversion, wherein a plant grown from said seed comprises a trait conferred by said single locus conversion and otherwise comprises all of the morphological and physiological characteristics of hybrid corn variety CH011052, and wherein said seed is produced by crossing a first plant selected from the group consisting of variety CV663768 and selfed progeny thereof with a second plant selected from a second group consisting of variety CV426610 and selfed progeny thereof, wherein said first plant, said second plant, or both further comprise said single locus conversion, and wherein representative seeds of said varieties CV663768 and CV426610 are deposited under ATCC Accession No. PTA-125227 and NCMA Accession No. 202005034, respectively.', '10. The seed of ', '11. A plant grown from the seed of ', '12. A method of introducing a heritable trait into hybrid corn variety CH011052, the method comprising the steps of:\n', '13. The method of ', '14. The method of ', '15. A method of producing a progeny corn plant derived from hybrid corn variety CH011052, wherein the method comprises applying plant breeding techniques to the plant of ', '16. The method of ', '17. The method of ', '18. A method of producing a commodity plant product, the method comprising obtaining the plant of ', '19. The method of ']"
601,2022-09-21,Plants and seeds of hybrid corn variety CH011042,"['1. A seed of hybrid corn variety CH011042, produced by crossing a first plant of variety CV485006 with a second plant of variety CV453754, wherein representative seeds of said varieties CV485006 and CV453754 are deposited under NCMA Accession No. 202005027 and ATCC Accession No. PTA-126189, respectively.', '2. A plant of the hybrid corn variety CH011042 grown from said seed of ', '3. A plant part of the plant of ', '4. A composition comprising the seed of ', '5. The composition of ', '6. A seed of hybrid corn variety CH011042, produced by crossing a first plant of variety CV485006 with a second plant of variety CV453754, further comprising a transgene, wherein said transgene is introduced by backcrossing or genetic transformation into said variety CV485006, said variety CV453754, or both varieties CV485006 and CV453754, and wherein representative seeds of said varieties CV485006 and CV453754 are deposited under NCMA Accession No. 202005027 and ATCC Accession No. PTA-126189, respectively.', '7. The seed of ', '8. A method of producing the seed of ', '9. A seed of hybrid corn variety CH011042 further comprising a single locus conversion, wherein a plant grown from said seed comprises a trait conferred by said single locus conversion and otherwise comprises all of the morphological and physiological characteristics of hybrid corn variety CH011042, and wherein said seed is produced by crossing a first plant selected from the group consisting of variety CV485006 and selfed progeny thereof with a second plant selected from a second group consisting of variety CV453754 and selfed progeny thereof, wherein said first plant, said second plant, or both further comprise said single locus conversion, and wherein representative seeds of said varieties CV485006 and CV453754 are deposited under NCMA Accession No. 202005027 and ATCC Accession No. PTA-126189, respectively.', '10. The seed of ', '11. A plant grown from the seed of ', '12. A method of introducing a heritable trait into hybrid corn variety CH011042, the method comprising the steps of:\n', '13. The method of ', '14. The method of ', '15. A method of producing a progeny corn plant derived from hybrid corn variety CH011042, wherein the method comprises applying plant breeding techniques to the plant of ', '16. The method of ', '17. The method of ', '18. A method of producing a commodity plant product, the method comprising obtaining the plant of ', '19. The method of ']"
602,2022-09-21,Plants and seeds of hybrid corn variety CH011039,"['1. A seed of hybrid corn variety CH011039, produced by crossing a first plant of variety CV481649 with a second plant of variety CV426610, wherein representative seeds of said varieties CV481649 and CV426610 are deposited under NCMA Accession No. 202005028 and NCMA Accession No. 202005034, respectively.', '2. A plant of the hybrid corn variety CH011039 grown from said seed of ', '3. A plant part of the plant of ', '4. A composition comprising the seed of ', '5. The composition of ', '6. A seed of hybrid corn variety CH011039, produced by crossing a first plant of variety CV481649 with a second plant of variety CV426610, further comprising a transgene, wherein said transgene is introduced by backcrossing or genetic transformation into said variety CV481649, said variety CV426610, or both varieties CV481649 and CV426610, and wherein representative seeds of said varieties CV481649 and CV426610 are deposited under NCMA Accession No. 202005028 and NCMA Accession No. 202005034, respectively.', '7. The seed of ', '8. A method of producing the seed of ', '9. A seed of hybrid corn variety CH011039 further comprising a single locus conversion, wherein a plant grown from said seed comprises a trait conferred by said single locus conversion and otherwise comprises all of the morphological and physiological characteristics of hybrid corn variety CH011039, and wherein said seed is produced by crossing a first plant selected from the group consisting of variety CV481649 and selfed progeny thereof with a second plant selected from a second group consisting of variety CV426610 and selfed progeny thereof, wherein said first plant, said second plant, or both further comprise said single locus conversion, and wherein representative seeds of said varieties CV481649 and CV426610 are deposited under NCMA Accession No. 202005028 and NCMA Accession No. 202005034, respectively.', '10. The seed of ', '11. A plant grown from the seed of ', '12. A method of introducing a heritable trait into hybrid corn variety CH011039, the method comprising the steps of:\n', '13. The method of ', '14. The method of ', '15. A method of producing a progeny corn plant derived from hybrid corn variety CH011039, wherein the method comprises applying plant breeding techniques to the plant of ', '16. The method of ', '17. The method of ', '18. A method of producing a commodity plant product, the method comprising obtaining the plant of ', '19. The method of ']"
603,2022-09-20,Soybean variety 01083654,"['1. A plant of soybean variety 01083654, wherein representative seed of said soybean variety have been deposited under NCMA Accession No. 202005152.', '2. A plant part of the plant of ', '3. A seed of soybean variety 01083654, wherein representative seed of said soybean variety have been deposited under NCMA Accession No. 202005152.', '4. A method of producing a soybean seed, the method comprising crossing the plant of ', '5. The method of ', '6. An F', '7. An F', '8. A composition comprising the seed of ', '9. The composition of ', '10. A plant of soybean variety 01083654 further comprising a single locus conversion, wherein said plant otherwise comprises all of the morphological and physiological characteristics of said soybean variety, and wherein representative seed of said soybean variety have been deposited under NCMA Accession No. 202005152.', '11. The plant of ', '12. A seed that produces the plant of ', '13. The seed of ', '14. The seed of ', '15. The seed of ', '16. The method of ', '17. The method of ', '18. A method of producing a commodity plant product, the method comprising producing the commodity plant product from the plant of ', '19. The method of ', '20. A commodity plant product that is produced by the method of ']"
604,2022-09-21,Double-flowered Pentas plant and method for growing same,"['1. A Pentas plant comprising a monogenic incompletely dominant double flower gene that depending upon the zygosity of the double flower gene exhibits a semi-double or double flower phenotype, wherein the double flower gene provides 3 or more whirls of petals, and wherein the double flower gene is as found in variety SSC-PEN-18-001, a representative sample of seed comprising said double flower gene containing variety having been deposited under the accession number FERM BP-22361.', '2. The Pentas plant according to ', '3. The Pentas plant according to ', '4. The Pentas plant according to ', '5. The Pentas plant according to ', '6. The Pentas plant according to ', '7. The Pentas plant according to ', '8. A plant body or a part of the plant body of the Pentas plant according to ', '9. The plant body or the part of the plant body of the Pentas plant according to ', '10. A method for breeding a Pentas plant having a double flower gene, comprising the following steps (1) and (2):\n', '11. A method for providing a Pentas variety with a double flower or semi-double flower phenotype, comprising the following steps (1) to (4):\n']"
605,2022-09-21,Arrangement and method for classifying teats with respect to size measures,"['1. An arrangement for an automatic milking system, the arrangement comprising:\n', '2. The arrangement according to ', '3. The arrangement according to ', '4. The arrangement according to ', '5. The arrangement according to ', '6. An arrangement for an automatic milking system, the arrangement comprising:\n', '7. The arrangement according to ', '8. The arrangement according to ', '9. A method implemented in an arrangement for an automatic milking system, the method comprising:\n', '10. The method according to ', '11. The method according to ', '12. The method according to ', '13. The method according to ', '14. An arrangement for an automatic milking system, the arrangement comprising:\n', '15. The arrangement according to ', '16. A method implemented in an arrangement for an automatic milking system, the method comprising:\n']"
606,2022-09-20,Milking cluster for milking an animal,"['1. A milking cluster for milking an animal, the milking cluster comprising:\n', '2. The milking cluster of ', '3. The milking cluster of ', '4. The milking cluster of ', '5. The milking cluster of ', '6. The milking cluster of ', '7. The milking cluster of ', '8. The milking cluster of ', '9. The milking cluster of ', '10. The milking cluster of ', '11. The milking cluster of ', '12. Milking equipment comprising:\n', '13. The milking equipment of ', '14. A method of milking an animal using the milking cluster of ', '15. The milking cluster of ', '16. A milking cluster for milking an animal, the milking cluster comprising:\n', '17. The milking cluster of ', '18. The milking cluster of ', '19. The milking cluster of ', '20. The milking cluster of ', '21. A method of milking an animal using the milking cluster of ']"
607,2022-09-21,End effector of a robot arm and arrangement for performing an animal related operation,"['1. An end effector (', '2. The end effector (', '3. The end effector (', '4. The end effector (', '5. The end effector (', '6. The end effector (', '7. The end effector (', '8. The end effector (', '9. The end effector (', '10. The end effector (', '11. The end effector (', '12. An arrangement (', '13. The arrangement (', '14. A method (']"
608,2022-09-21,"Process for making a straw mat, straw mat and straw barn","['1. A method for producing a straw mat in a living space for livestock confined in a straw pen, the method comprising the steps of:\n', '2. The method of ', '3. The method of ', '4. The method according to ', '5. The method according to ', '6. The method according to ', '7. The method according to ', '8. The method according to ', '9. The method according to ', '10. The method according to ', '11. The method according to ', '12. The method according to ', '13. The method according to ', '14. The method according to ', '15. The method according to ', '16. A method for producing a straw mat in a living space for livestock confined in a straw pen, the method comprising the steps of:\n', '17. The method according to ']"
609,2022-09-21,Hip lift animal harness device,"['1. A device for an animal, comprising:\n', '2. The device of ', '3. The device of ', '4. The device of ', '5. The device of ', '6. The device of ', '7. An animal harness comprising:\n', '8. The animal harness of ', '9. The animal harness of ', '10. The animal harness of ', '11. The animal harness of ', '12. A device for an animal, comprising:\n', '13. The device of ', '14. The device of ', '15. The device of ', '16. The device of ', '17. The device of ', '18. The device of ', '19. The device of ']"
610,2022-09-20,Collapsible backpack pet trailer,"['1. A trailer apparatus comprising:\n', '2. The trailer apparatus of ', '3. The trailer apparatus of ', '4. The trailer apparatus of ', '5. The trailer apparatus of ', '6. The trailer apparatus of ', '7. The trailer apparatus of ', '8. The trailer apparatus of ', '9. The trailer apparatus of ', '10. The trailer apparatus of ', '11. The trailer apparatus of ', '12. The trailer apparatus of ', '13. The trailer apparatus of ', '14. The trailer apparatus of ', '15. The trailer apparatus of ', '16. The trailer apparatus of ', '17. The trailer apparatus of ', '18. The trailer apparatus of ']"
611,2022-09-21,Cage assembly for animal test subjects,"['1. A cage assembly comprising:\n', '2. The cage assembly of ', '3. The cage assembly of ', '4. The cage assembly of ', '5. The cage assembly of ', '6. The cage assembly of ', '7. The cage assembly of ', '8. The cage assembly of ', '9. The cage assembly of ', '10. The cage assembly of ', '11. A method of using the cage assembly of ', '12. The method of ', '13. The method of ', '14. A cage assembly comprising:\n', '15. The cage assembly of ', '16. The cage assembly of ', '17. The cage assembly of ', '18. The cage assembly of ', '19. The cage assembly of ', '20. A cage assembly comprising:\n']"
612,2022-09-21,Live insects transport device,"['1. A live insect larvae transport device comprising:\n', '2. The live insect larvae transport device according to ', '3. The live insect larvae transport device according to ', '4. The live insect larvae transport device according to ', '5. The live insect larvae transport device according to ', '6. The live insect larvae transport device according to ', '7. The live insect larvae transport device according to ', '8. The live insect larvae transport device according to ', '9. The live insect larvae transport device according to ', '10. The live insect larvae transport device according to ', '11. The live insect larvae transport device according to ', '12. The live insect larvae transport device according to ', '13. The live insect larvae transport device according to ', '14. The live insect larvae transport device according to ', '15. The live insect larvae transport device according to ', '16. The live insect larvae transport device according to ', '17. The live insect larvae transport device according to ', '18. A combination of a cyclone separation system and one or more live insect larvae transport devices according to ', '19. The combination according to ', '20. A method for transporting live neonate insect larvae comprising the steps of:\n', 'into the first laminar flow of air.', '21. The method according to ', '22. The method according to ']"
613,2022-09-21,Pet monitoring device,"['1. A pet monitoring device for monitoring a sub-dermal RFID microchip, the pet monitoring device comprising:\n', '2. A pet monitoring device as claimed in ', '3. A pet monitoring device as claimed in ', '4. A pet monitoring device as claimed in ', '5. A pet monitoring device as claimed ', '6. A pet monitoring device as claimed in ', '7. A pet monitoring device as claimed in ', '8. A pet monitoring device as claimed in ', '9. A pet monitoring device as claimed in ', '10. A pet monitoring device as claimed in ', '11. A pet monitoring system comprising:\n', '12. A pet monitoring system as claimed in ', '13. A pet monitoring system as claimed in ', '14. A pet monitoring system as claimed in ', '15. A pet monitoring system as claimed in ']"
614,2022-09-21,Portable pet washing station,"['1. A portable pet washing station configured to be collapsed for storage and travel, and expand when used to bathe a pet, the portable pet washing station comprising:\n', '2. The portable pet washing station of ', '3. The portable pet washing station of ', '4. The portable pet washing station of ', '5. The portable pet washing station of ', '6. The portable pet washing station of ', '7. The portable pet washing station of ', '8. The portable pet washing station of ', '9. The portable pet washing station of ', '10. The portable pet washing station of ', '11. The portable pet washing station of ', '12. The portable pet washing station of ', '13. The portable pet washing station of ', '14. The portable pet washing station of ', '15. The portable pet washing station of ', '16. The portable pet washing station of ', '17. The portable pet washing station of ', '18. The portable pet washing station of ', '19. A method for manufacturing a portable pet washing station configured to be collapsed for storage and travel, and expand when used to bathe a pet, the method comprising:\n']"
615,2022-09-21,Pet grooming tool,"['1. A grooming tool for a pet, comprising:\n', '2. The grooming tool according to ', '3. The grooming tool according to ', '4. The grooming tool according to ', '5. The grooming tool according to ', '6. The grooming tool according to ', '7. The grooming tool according to ', '8. The grooming tool according to ', '9. The grooming tool according to ']"
616,2022-09-21,Pet toy with chew holder,"['1. A chew toy comprising:\n', '2. The chew toy of ', '3. The chew toy of ', '4. The chew toy of ', '5. The chew toy of ', '6. The chew toy of ', '7. The chew toy of ', '8. The chew toy of ', '9. The chew toy of ', '10. The chew toy of ', '11. The chew toy of ', '12. The chew toy of ', '13. The chew toy of ', '14. The chew toy of ', '15. The chew toy of ', '16. The chew toy of ']"
617,2022-09-21,"Walk support device, walk support method, and walk support program","['1. A walk support device comprising a processor that is configured to:\n', '2. The walk support device according to ', '3. The walk support device according to ', '4. The walk support device according to ', '5. The walk support device according to ', '6. The walk support device according to ', '7. The walk support device according to ', '8. The walk support device according to ', '9. The walk support device according to ', '10. The walk support device according to ', '11. The walk support device according to ', '12. The walk support device according to ', '13. The walk support device according to ', '14. A walk support method comprising:\n', '15. A non-transitory computer-readable storage medium storing a walk support program for causing a computer:\n']"
618,2022-09-21,Method and control unit for locating animals,"['1. A system (', '2. The system (', '3. The system (', '4. The system (', '5. The system (', '6. The system (', '7. The system (', '8. A method (', '9. The method (', '10. The method (', '11. The method (', '12. A computer-readable medium having stored thereon a computer program comprising instructions that, when the computer program is executed by a control unit (', '13. The method (', '14. The method (']"
619,2022-09-21,Apparatus for fly management,"['1. An apparatus for fly management, comprising:\n', '2. The apparatus according to ', '3. The apparatus according to ', '4. The apparatus according to ', '5. The apparatus according to ', '6. The apparatus according to ', '7. The apparatus according to ', '8. The apparatus according to ', '9. The apparatus according to ', '10. The apparatus according to ', '11. The apparatus according to ', '12. The apparatus according to ', '13. The apparatus according to ', '14. The apparatus according to ', '15. The apparatus according to ', '16. The apparatus according to ', '17. The apparatus according to ', '18. The apparatus according to ', '19. The apparatus according to ', '20. The apparatus according to ', '21. The apparatus according to ', '22. The apparatus according to ', '23. The apparatus according to ', '24. The apparatus according to ', '25. The apparatus according to ', '26. A device for fly management, comprising:\n', '27. The device according to ', '28. The device according to ', '29. The device according to ', '30. The device according to ', '31. A system for fly management, comprising:\n', '32. The system according to ', '33. The system according to ', '34. The system according to ', '35. A method for fly management, comprising:\n']"
